first_name;last_name;nickname;team;id
Gabriel;Almeida;Tod;Checkmat;9250
Gabriel;Arges;Frodo;Gracie Barra;6071
Gabriel;Brod;;;13670
Gabriel;Costa;Maranhao;Guigo JJ;11766
Gabriel;Figueiro;;;10232
Gabriel;Gaudio;;GF Team;12487
Gabriel;Gonzaga;Napao;;10430
Gabriel;Goulart;;Alliance;1017
Gabriel;Henrique Oliveira;;Alliance;10817
Gabriel;Lucas;Fedor;Checkmat;8560
Gabriel;Kitober;;;9746
Gabriel;Marangoni;;Academia Marangoni;7698
Gabriel;Marinho;;GF Team;11917
Gabriel;Moraes;;;2401
Gabriel;de Oliveira Haddad;Biel;;13021
Gabriel;Rollo;Palito;Checkmat;5061
Gabriel;Vella;;;607
Gabriel;Rainho;Biel;GF Team;1563
Gabriel;Ribeiro;;Brazil 021;1586
Gabriel;Sousa;;ZR Team;9051
Gabriel;Volante;;XCoach;13392
Gabriel;Willcox;;;10091
Gabrieli;Pessanha;;InFight;10153
Gabrieli;Procopio;;BTT;11257
Gabriela;Pereira;;Vision;12753
Gabriela;Fechter;;Checkmat;9241
Gabrielle;Garcia;Gabi;Alliance;595
Gabrielle;McComb;Gabi;Gracie Humaita;8991
Garth;Taylor;;;1696
Gary;Tonon;;Renzo Gracie Academy;5649
Gastao;Gracie;;Gracie JJ;1408
Geny;Rebelo;;Academia Serrana;8583
Gerard;Labinski;;;8532
George;Gracie;Gato Ruivo;Gracie JJ;528
Geraldo;Flores;;;3380
Gerardi;Rinaldi;Jerry;Renzo Gracie;1329
Gezary;Matuda;;American Top Team;3479
Giancarlo;Bodoni;;Alliance;11797
Gianni;Grippo;;Alliance;4248
Gilbert;Burns;Durinho;Atos;446
Gilson;Nunes;Nenem;Checkmat;7872
Giovanna;Jara;;;13016
Giulia;Gregorut;;;13167
Gordon;Ryan;;New Wave;6550
Grace;Gundrum;;10th Planet;11783
Greg;Souders;;Standard JJ;13493
Gregor;Gracie;;Renzo Gracie;1322
Guilherme;Bacha;;Checkmat;12563
Guilherme;Cascon;;Brazil 021;1733
Guilherme;Cordiviola;;GF Team;9361
Guilherme;Fernandes;;Dream Art;13575
Guilherme;Mendes;;AOJ;415
Guilherme;Rocha;;ZR Team;9635
Gunnar;Nelson;;;1388
Gutemberg;Pereira;;GF Team;8195
Guthierry;Barbosa;;PRM Team / Carlson Gracie Academy;10199
Gustavo;Campos;Guto;Atos;108
Gustavo;Dantas;;Nova Uniao;620
Gustavo;Maron;;Dream Art;11543
Gustavo;Machado;;;10932
Gustavo;Batista;Braguinha;Atos;8357
Gustavo;Dias Elias;;Gracie Humaita;4177
Gustavo;Pires;Siri;Gracie Barra;5726
Guybson;Sa;;SAS Team;9338
Gyalisson;Freitas;Hiago;GF Team;12338
Heath;Pedigo;;Pedigo Submission Fighting;11359
Heather;Raftery;;Atos;10926
Hanette;Staack;;Brazil 021;258
Harryson;Pereira;;Ataque Duplo;11215
Helder;Junior;Tropeco;Fratres;13496
Helder;Medeiros;SpongeBob;;11228
Helio;Gracie;;Gracie JJ;44
Helio;Moreira;Soneca;;655
Helio;Vigio;;Gracie Humaita;3129
Helton;Jose Junior;;PSLPB Cícero Costha;7704
Helvecio;Penna;;De La Riva;671
Henrique;Cardoso;;Ceconi JJ;9554
Henrique;Machado;;ASLE;371
Hiago;Gama;;Alliance;8038
Higor;Lima;;Kahwage Fight Team;12241
Hillary;Williams;Gringa;WSMMA;184
Hiryu;Niwa;;AOJ;13326
Horlando;Monteiro;;Kimura/Nova União;7399
Huanderson;Pavao;;GF Team;973
Hugo;Marques;;Soul Fighters;8138
Humberto;Silveira;;Shiozawa;1174
Hunter;Ewald;;;7332
Hygor;Brito;;PSLPB;9117
Ian;Behring;;;3279
Ian;Mcpherson;;Alliance;1750
Ian;Sanders;;RFBJJ;9488
Ida;Hansson;;Checkmat;1655
Iasmin;Casser;;AOJ;12554
Igor;Feliz;;Future School Of Jiu-Jitsu;12225
Igor;Rodrigues;Baixinho;Checkmat;2013
Igor;Silva;;GF Team;680
Igor;Paiva;;Soul Fighters;8477
Igor;Schneider;Tigrao;New School Brotherhood;6631
Igor;Tanabe;;Igloo BJJ;11145
Igor;Verissimo;;;8647
Inacio;Neto;;Gracie Barra;7743
Inacio;Santos;;;13853
Ingridd;Alves;;;11929
Israel;Sousa;;GF Team;10408
Italo;Lins;;GF Team;1542
Italo;Lima Costa;;Ares;13660
Italo;Moura;;Unity - PSLPB;10295
Itallo;Vilardo;;;6379
Isaque;Bahiense;;Dream Art;7552
Iseong;Jang;;Wire JJ;9606
Ismael;Santos;;GF Team;12633
Ivan;Gomes;;;2335
Ivaniel;Oliveira;;Atos;1874
Jackson;Douglas;;Checkmat;11939
Jackson;Sousa;Jack;Checkmat;3200
Jackson;Nagai;;Checkmat;11208
Jacob;Couch;;;13162
Jaqueline;Amorim;;Checkmat;8168
Jair;Lourenco;;Nova Uniao - Kimura;1813
Jake;Ferrara;;GF Team;8756
Jake;Mackenzie;;;1014
Jake;Watson;;Maracaba BJJ;10240
Jakub;Zajkowski;;;10986
James;Brasco;;BJJ Center;1526
James;Harbison;Jah;Lloyd Irvin;1768
James;Puopolo;;Gracie Humaita;1827
Janni;Larsson;;Checkmat;4107
Janaina;Lebre;;Gracie Humaita;13064
Jansen;Gomes;Nenego;Checkmat;12506
Jasmine;Rocha;;Vagner Rocha MA;13132
Jason;Rau;;Team Serra;10759
